Timestamp,Machine_ID,Temperature_C,Vibration_mm_s,Pressure_bar
24/1/24 0:00,Machine_1,62.12,2.51,5.98
24/1/24 0:00,Machine_2,61.03,2.55,3.82
24/1/24 0:00,Machine_3,70.75,2.55,6.76
24/1/24 0:00,Machine_4,60.32,1.16,7.27
24/1/24 0:00,Machine_5,73.83,1.64,3.01
24/1/24 0:00,Machine_6,78.31,0.59,3.25
24/1/24 0:00,Machine_7,75.14,2.06,5.73
24/1/24 0:00,Machine_8,70.59,2.02,3.96
24/1/24 0:00,Machine_9,76.93,0.95,6.58
24/1/24 0:00,Machine_10,73.29,2.37,5.91
24/1/24 0:01,Machine_1,74.06,1.48,6.54
24/1/24 0:01,Machine_2,65.31,0.8,5.72
24/1/24 0:01,Machine_3,71.02,1.17,3.97
24/1/24 0:01,Machine_4,70.53,0.73,3.78
24/1/24 0:01,Machine_5,78.36,1.32,4.8
24/1/24 0:01,Machine_6,62.93,1.12,4.98
24/1/24 0:01,Machine_7,66.5,1.44,7.32
24/1/24 0:01,Machine_8,62.61,1.12,3.12
24/1/24 0:01,Machine_9,62.32,2.14,7.26
24/1/24 0:01,Machine_10,61.76,0.41,5.33
24/1/24 0:02,Machine_1,71.63,1.62,4.23
24/1/24 0:02,Machine_2,60.27,2.54,4.5
24/1/24 0:02,Machine_3,76.68,2.09,7.09
24/1/24 0:02,Machine_4,71.99,2.19,5.04
24/1/24 0:02,Machine_5,68.67,0.77,3.8
24/1/24 0:02,Machine_6,75.81,1.0,6.98
24/1/24 0:02,Machine_7,76.4,1.98,6.21
24/1/24 0:02,Machine_8,70.5,1.26,5.15
24/1/24 0:02,Machine_9,79.22,1.83,4.19
24/1/24 0:02,Machine_10,65.75,2.28,5.06
24/1/24 0:03,Machine_1,68.12,1.54,5.46
24/1/24 0:03,Machine_2,72.1,0.53,5.47
24/1/24 0:03,Machine_3,63.65,1.88,6.78
24/1/24 0:03,Machine_4,67.38,2.52,5.74
24/1/24 0:03,Machine_5,78.49,2.51,5.09
24/1/24 0:03,Machine_6,61.29,2.11,6.38
24/1/24 0:03,Machine_7,68.05,1.98,4.15
24/1/24 0:03,Machine_8,73.28,1.9,6.87
24/1/24 0:03,Machine_9,79.21,0.51,4.69
24/1/24 0:03,Machine_10,65.08,1.24,3.04
24/1/24 0:04,Machine_1,68.97,0.44,3.26
24/1/24 0:04,Machine_2,75.2,1.14,3.78
24/1/24 0:04,Machine_3,75.39,0.79,5.03
24/1/24 0:04,Machine_4,64.08,1.51,7.15
24/1/24 0:04,Machine_5,75.6,2.29,5.82
24/1/24 0:04,Machine_6,66.07,2.55,6.06
24/1/24 0:04,Machine_7,69.35,1.39,5.24
24/1/24 0:04,Machine_8,74.96,1.13,4.5
24/1/24 0:04,Machine_9,78.6,1.41,4.48
24/1/24 0:04,Machine_10,69.23,1.34,7.24
24/1/24 0:05,Machine_1,62.56,2.38,4.54
24/1/24 0:05,Machine_2,66.01,2.36,7.34
24/1/24 0:05,Machine_3,75.16,1.82,5.59
24/1/24 0:05,Machine_4,64.91,1.89,3.95
24/1/24 0:05,Machine_5,77.56,1.49,6.93
24/1/24 0:05,Machine_6,62.99,1.96,7.41
24/1/24 0:05,Machine_7,65.26,1.39,4.09
24/1/24 0:05,Machine_8,60.78,1.19,3.75
24/1/24 0:05,Machine_9,66.89,0.56,7.37
24/1/24 0:05,Machine_10,61.0,1.42,6.68
24/1/24 0:06,Machine_1,79.72,1.92,4.5
24/1/24 0:06,Machine_2,77.52,1.1,5.93
24/1/24 0:06,Machine_3,79.58,2.12,6.15
24/1/24 0:06,Machine_4,69.76,0.65,7.37
24/1/24 0:06,Machine_5,60.84,1.77,5.2
24/1/24 0:06,Machine_6,62.04,1.46,6.42
24/1/24 0:06,Machine_7,79.71,2.45,4.7
24/1/24 0:06,Machine_8,79.16,1.94,4.25
24/1/24 0:06,Machine_9,66.83,1.36,4.36
24/1/24 0:06,Machine_10,75.54,1.04,4.84
24/1/24 0:07,Machine_1,66.02,0.47,6.84
24/1/24 0:07,Machine_2,66.8,1.19,3.37
24/1/24 0:07,Machine_3,61.84,1.94,4.27
24/1/24 0:07,Machine_4,64.75,0.9,7.06
24/1/24 0:07,Machine_5,69.38,1.05,4.66
24/1/24 0:07,Machine_6,65.35,1.28,3.3
24/1/24 0:07,Machine_7,60.1,1.18,6.0
24/1/24 0:07,Machine_8,69.63,0.92,6.34
24/1/24 0:07,Machine_9,76.53,1.05,4.35
24/1/24 0:07,Machine_10,72.86,1.6,4.93
24/1/24 0:08,Machine_1,78.68,1.7,3.8
24/1/24 0:08,Machine_2,66.26,2.3,5.68
24/1/24 0:08,Machine_3,63.03,2.49,6.54
24/1/24 0:08,Machine_4,73.61,2.62,3.81
24/1/24 0:08,Machine_5,62.62,1.39,7.44
24/1/24 0:08,Machine_6,73.8,1.79,4.61
24/1/24 0:08,Machine_7,68.47,2.56,6.71
24/1/24 0:08,Machine_8,69.07,2.08,6.57
24/1/24 0:08,Machine_9,60.18,1.8,4.08
24/1/24 0:08,Machine_10,76.55,1.83,4.02
24/1/24 0:09,Machine_1,74.38,1.2,6.55
24/1/24 0:09,Machine_2,73.35,0.64,7.11
24/1/24 0:09,Machine_3,66.88,1.31,3.71
24/1/24 0:09,Machine_4,60.99,0.67,3.27
24/1/24 0:09,Machine_5,68.41,2.4,5.31
24/1/24 0:09,Machine_6,70.67,1.79,7.32
24/1/24 0:09,Machine_7,67.94,1.82,6.67
24/1/24 0:09,Machine_8,71.48,1.61,6.69
24/1/24 0:09,Machine_9,75.55,0.94,4.94
24/1/24 0:09,Machine_10,73.63,2.31,6.41
24/1/24 0:10,Machine_1,72.13,1.99,5.7
24/1/24 0:10,Machine_2,72.21,2.1,5.04
24/1/24 0:10,Machine_3,74.2,0.6,5.68
24/1/24 0:10,Machine_4,68.41,2.09,5.93
24/1/24 0:10,Machine_5,69.27,2.26,6.03
24/1/24 0:10,Machine_6,72.69,1.0,5.66
24/1/24 0:10,Machine_7,76.34,0.67,4.02
24/1/24 0:10,Machine_8,73.38,1.44,6.78
24/1/24 0:10,Machine_9,74.31,0.64,5.46
24/1/24 0:10,Machine_10,61.92,2.41,3.58
24/1/24 0:11,Machine_1,62.36,0.97,6.4
24/1/24 0:11,Machine_2,72.83,1.05,6.48
24/1/24 0:11,Machine_3,77.76,1.8,4.3
24/1/24 0:11,Machine_4,69.88,1.44,5.73
24/1/24 0:11,Machine_5,68.56,1.78,6.47
24/1/24 0:11,Machine_6,63.94,1.4,6.49
24/1/24 0:11,Machine_7,74.58,0.51,3.55
24/1/24 0:11,Machine_8,77.39,0.68,4.09
24/1/24 0:11,Machine_9,64.0,0.56,3.69
24/1/24 0:11,Machine_10,61.19,2.45,4.84
24/1/24 0:12,Machine_1,77.91,2.53,5.12
24/1/24 0:12,Machine_2,61.42,0.93,5.29
24/1/24 0:12,Machine_3,75.62,1.83,5.41
24/1/24 0:12,Machine_4,70.89,1.56,3.78
24/1/24 0:12,Machine_5,66.69,2.1,7.47
24/1/24 0:12,Machine_6,73.19,1.14,3.44
24/1/24 0:12,Machine_7,76.84,2.02,4.08
24/1/24 0:12,Machine_8,61.68,0.5,7.36
